city,average_error,valid_percentage,removed_percentage,status,filter_threshold,keep_city_threshold
ABILENE TX,3.893218623,0.777034998,0.222965002,Kept,15,0.75
AKRON CANTON,4.442584964,0.763664963,0.236335037,Kept,15,0.75
ALBANY NY,4.556527094,0.79826976,0.20173024,Kept,15,0.75
ALBUQUERQUE,3.168760647,0.923318915,0.076681085,Kept,15,0.75
ALLENTOWN,4.461640212,0.817538341,0.182461659,Kept,15,0.75
AMARILLO,4.102598809,0.726307511,0.273692489,Removed,15,0.75
ANCHORAGE,2.838954469,0.932756587,0.067243413,Kept,15,0.75
ASHEVILLE,3.944392741,0.845064884,0.154935116,Kept,15,0.75
ATLANTA,3.673390752,0.867479355,0.132520645,Kept,15,0.75
ATLANTIC CITY,4.341622405,0.81439245,0.18560755,Kept,15,0.75
AUSTIN,3.249878108,0.806527723,0.193472277,Kept,15,0.75
BALTIMORE,4.302727716,0.807314196,0.192685804,Kept,15,0.75
BATON ROUGE,3.020119048,0.825796304,0.174203696,Kept,15,0.75
BILLINGS,4.329038652,0.793550924,0.206449076,Kept,15,0.75
BIRMINGHAM,3.566785714,0.825796304,0.174203696,Kept,15,0.75
BISMARCK,4.806701031,0.76287849,0.23712151,Kept,15,0.75
BOISE,3.724209833,0.895792371,0.104207629,Kept,15,0.75
BOSTON,4.47225,0.78647267,0.21352733,Kept,15,0.75
BRIDGEPORT,4.185868071,0.858434919,0.141565081,Kept,15,0.75
BROWNSVILLE,2.546132972,0.869445537,0.130554463,Kept,15,0.75
BUFFALO,4.517591675,0.793550924,0.206449076,Kept,15,0.75
BURLINGTON VT,4.713399189,0.776248525,0.223751475,Kept,15,0.75
CARIBOU,4.74150027,0.728666929,0.271333071,Removed,15,0.75
CASPER,4.540582726,0.755800236,0.244199764,Kept,15,0.75
CHARLESTON SC,3.44375,0.865119937,0.134880063,Kept,15,0.75
CHARLESTON WV,4.320482247,0.742036964,0.257963036,Removed,15,0.75
CHARLOTTE,3.885793872,0.847031066,0.152968934,Kept,15,0.75
CHATTANOOGA,3.674267101,0.845064884,0.154935116,Kept,15,0.75
CHEYENNE,4.355340064,0.740070783,0.259929217,Removed,15,0.75
