"date_and_time","city","previous_lo","previous_hi","previous_precip","today_lo","today_hi","today_outlook","tomorrow_lo","tomorrow_hi","tomorrow_outlook","email_period"
2023-02-25 07:50:00,"ABILENE TX",36,40,0,44,45,"SHWRS",46,80,"TSTRMS","morning"
2023-02-25 07:50:00,"AKRON CANTON",24,37,0,28,45,"MOCLDY",35,51,"SUNNY","morning"
2023-02-25 07:50:00,"ALBANY NY",12,32,NA,16,22,"SNOW",21,39,"MOCLDY","morning"
2023-02-25 07:50:00,"ALBUQUERQUE",36,57,0,37,60,"MOCLDY",25,52,"RNSNOW","morning"
2023-02-25 07:50:00,"ALLENTOWN",20,46,0,22,32,"SNOW",27,50,"PTCLDY","morning"
2023-02-25 07:50:00,"AMARILLO",23,46,0,43,63,"MOCLDY",33,71,"DUST","morning"
2023-02-25 07:50:00,"ANCHORAGE",20,28,0,5,25,"SNOSHW",-1,16,"FOG","morning"
2023-02-25 07:50:00,"ASHEVILLE",45,67,0.01,45,56,"SHWRS",50,67,"MOCLDY","morning"
2023-02-25 07:50:00,"ATLANTA",55,77,0.18,58,68,"SHWRS",59,72,"MOCLDY","morning"
2023-02-25 07:50:00,"ATLANTIC CITY",24,54,0,26,35,"SNOW",33,51,"SUNNY","morning"
2023-02-25 07:50:00,"AUSTIN",47,56,0,56,63,"MOCLDY",58,81,"MOCLDY","morning"
2023-02-25 07:50:00,"BALTIMORE",31,56,0,28,37,"RNSNOW",35,55,"MOCLDY","morning"
2023-02-25 07:50:00,"BATON ROUGE",68,86,0,65,84,"MOCLDY",68,81,"MOCLDY","morning"
2023-02-25 07:50:00,"BILLINGS",10,13,0,25,40,"PTCLDY",22,47,"MOCLDY","morning"
2023-02-25 07:50:00,"BIRMINGHAM",56,66,0.23,56,69,"SHWRS",61,76,"MOCLDY","morning"
2023-02-25 07:50:00,"BISMARCK",-16,-3,0.01,3,28,"SUNNY",17,31,"PTCLDY","morning"
2023-02-25 07:50:00,"BOISE",23,45,0,34,49,"SUNNY",31,45,"RNSNOW","morning"
2023-02-25 07:50:00,"BOSTON",13,38,0,18,22,"SNOW",25,37,"SNOW","morning"
2023-02-25 07:50:00,"BRIDGEPORT",20,45,0,22,28,"SNOSHW",27,46,"MOCLDY","morning"
2023-02-25 07:50:00,"BROWNSVILLE",68,85,0,69,81,"MOCLDY",69,80,"WINDY","morning"
2023-02-25 07:50:00,"BUFFALO",17,24,0,19,31,"SNOW",22,40,"MOCLDY","morning"
2023-02-25 07:50:00,"BURLINGTON VT",-6,17,0,9,16,"FLRRYS",17,33,"SNOSHW","morning"
2023-02-25 07:50:00,"CARIBOU",-13,10,0,-14,9,"VRYCLD",2,15,"SNOSHW","morning"
2023-02-25 07:50:00,"CASPER",14,21,0,24,37,"BLGSNO",22,39,"WINDY","morning"
2023-02-25 07:50:00,"CHARLESTON SC",58,86,0.2,58,71,"SHWRS",59,75,"MOCLDY","morning"
2023-02-25 07:50:00,"CHARLESTON WV",29,46,0,36,49,"RAIN",44,57,"MOCLDY","morning"
