"date_and_time","city","previous_lo","previous_hi","previous_precip","today_lo","today_hi","today_outlook","tomorrow_lo","tomorrow_hi","tomorrow_outlook","email_period"
2023-10-19 20:50:00,"ABILENE TX",51,87,0,59,91,"SUNNY",62,93,"MOCLDY","afternoon"
2023-10-19 20:50:00,"AKRON CANTON",45,62,0.03,51,57,"SHWRS",43,53,"SHWRS","afternoon"
2023-10-19 20:50:00,"ALBANY NY",45,66,0,54,63,"RAIN",56,59,"RAIN","afternoon"
2023-10-19 20:50:00,"ALBUQUERQUE",52,81,0,49,85,"SUNNY",52,82,"PTCLDY","afternoon"
2023-10-19 20:50:00,"ALLENTOWN",38,64,0,51,67,"SHWRS",53,63,"SHWRS","afternoon"
2023-10-19 20:50:00,"AMARILLO",46,87,0,49,89,"SUNNY",54,86,"MOCLDY","afternoon"
2023-10-19 20:50:00,"ANCHORAGE",33,40,0.91,24,34,"SUNNY",21,33,"SUNNY","afternoon"
2023-10-19 20:50:00,"ASHEVILLE",38,67,0,49,63,"RAIN",45,70,"SUNNY","afternoon"
2023-10-19 20:50:00,"ATLANTA",51,72,0,56,72,"SHWRS",50,74,"SUNNY","afternoon"
2023-10-19 20:50:00,"ATLANTIC CITY",39,65,0,55,68,"SHWRS",53,66,"SHWRS","afternoon"
2023-10-19 20:50:00,"AUSTIN",53,89,0,56,95,"SUNNY",58,94,"MOCLDY","afternoon"
2023-10-19 20:50:00,"BALTIMORE",43,73,0,55,69,"SHWRS",51,66,"PTCLDY","afternoon"
2023-10-19 20:50:00,"BATON ROUGE",53,84,0,63,88,"SUNNY",57,90,"SUNNY","afternoon"
2023-10-19 20:50:00,"BILLINGS",51,81,0,51,79,"SUNNY",43,66,"PTCLDY","afternoon"
2023-10-19 20:50:00,"BIRMINGHAM",51,71,0.01,56,75,"PTCLDY",50,80,"SUNNY","afternoon"
2023-10-19 20:50:00,"BISMARCK",41,72,0,44,70,"SUNNY",40,59,"SUNNY","afternoon"
2023-10-19 20:50:00,"BOISE",53,79,0,51,79,"SUNNY",50,80,"SUNNY","afternoon"
2023-10-19 20:50:00,"BOSTON",53,66,0,52,65,"RAIN",57,62,"RAIN","afternoon"
2023-10-19 20:50:00,"BRIDGEPORT",49,65,0,55,65,"SHWRS",57,65,"SHWRS","afternoon"
2023-10-19 20:50:00,"BROWNSVILLE",66,90,0,70,93,"SUNNY",70,92,"PTCLDY","afternoon"
2023-10-19 20:50:00,"BUFFALO",44,64,0,56,62,"SHWRS",48,54,"SHWRS","afternoon"
2023-10-19 20:50:00,"BURLINGTON VT",48,64,0,53,66,"SHWRS",54,59,"RAIN","afternoon"
2023-10-19 20:50:00,"CARIBOU",39,59,0,44,60,"CLOUDY",51,59,"RAIN","afternoon"
2023-10-19 20:50:00,"CASPER",42,75,0,43,76,"SUNNY",37,69,"MOCLDY","afternoon"
2023-10-19 20:50:00,"CHARLESTON SC",50,76,0,55,76,"SHWRS",54,74,"SUNNY","afternoon"
2023-10-19 20:50:00,"CHARLESTON WV",39,70,0,54,59,"SHWRS",45,61,"SHWRS","afternoon"
2023-10-19 20:50:00,"CHARLOTTE",48,73,0,53,69,"SHWRS",48,72,"SUNNY","afternoon"
2023-10-19 20:50:00,"CHATTANOOGA",46,73,0,56,73,"TSTRMS",47,78,"SUNNY","afternoon"
2023-10-19 20:50:00,"CHEYENNE",44,72,0,48,79,"SUNNY",41,71,"SUNNY","afternoon"
2023-10-19 20:50:00,"CHICAGO",54,60,0.07,51,60,"MOCLDY",47,61,"MOCLDY","afternoon"
2023-10-19 20:50:00,"CINCINNATI",51,61,0.17,50,59,"SHWRS",45,65,"PTCLDY","afternoon"
2023-10-19 20:50:00,"CLEVELAND",48,65,0.07,51,59,"SHWRS",46,55,"SHWRS","afternoon"
2023-10-19 20:50:00,"COLORADO SPGS",44,78,0,45,81,"SUNNY",46,72,"SUNNY","afternoon"
2023-10-19 20:50:00,"COLUMBIA SC",44,74,0,53,71,"SHWRS",48,74,"SUNNY","afternoon"
2023-10-19 20:50:00,"COLUMBUS GA",48,75,0,57,78,"SHWRS",51,78,"SUNNY","afternoon"
2023-10-19 20:50:00,"COLUMBUS OH",48,66,0.15,51,60,"SHWRS",46,60,"SHWRS","afternoon"
2023-10-19 20:50:00,"CONCORD NH",43,65,0.01,46,62,"SHWRS",52,59,"RAIN","afternoon"
2023-10-19 20:50:00,"CORPUS CHRISTI",61,92,0,63,95,"SUNNY",64,91,"PTCLDY","afternoon"
2023-10-19 20:50:00,"DALLAS FT WORTH",56,87,0,59,91,"SUNNY",62,92,"MOCLDY","afternoon"
2023-10-19 20:50:00,"DAYTON",49,62,0.18,50,59,"SHWRS",44,61,"SHWRS","afternoon"
2023-10-19 20:50:00,"DAYTONA BEACH",60,80,0,60,80,"SUNNY",64,81,"SUNNY","afternoon"
2023-10-19 20:50:00,"DENVER",46,80,0,46,83,"SUNNY",42,76,"SUNNY","afternoon"
2023-10-19 20:50:00,"DES MOINES",53,65,0.01,45,74,"SUNNY",50,66,"SUNNY","afternoon"
2023-10-19 20:50:00,"DETROIT",50,57,0.23,51,59,"SHWRS",43,55,"SHWRS","afternoon"
2023-10-19 20:50:00,"DULUTH",45,57,0.07,40,54,"SHWRS",44,51,"SHWRS","afternoon"
2023-10-19 20:50:00,"EL PASO",57,90,0,61,89,"PTCLDY",67,87,"MOCLDY","afternoon"
2023-10-19 20:50:00,"ELKINS",33,67,0,49,58,"SHWRS",43,54,"SHWRS","afternoon"
2023-10-19 20:50:00,"ERIE",47,66,0,54,59,"SHWRS",49,54,"SHWRS","afternoon"
2023-10-19 20:50:00,"EUGENE",45,67,0,48,64,"FOG",51,66,"CLOUDY","afternoon"
2023-10-19 20:50:00,"EVANSVILLE",56,72,0.05,51,67,"PTCLDY",47,74,"SUNNY","afternoon"
2023-10-19 20:50:00,"FAIRBANKS",26,29,0.07,17,26,"SNOW",14,24,"MOCLDY","afternoon"
2023-10-19 20:50:00,"FARGO",42,67,0,41,70,"PTCLDY",45,58,"MOCLDY","afternoon"
2023-10-19 20:50:00,"FLAGSTAFF",34,78,0,34,78,"SUNNY",35,74,"SUNNY","afternoon"
2023-10-19 20:50:00,"FLINT",50,55,0.12,50,57,"SHWRS",41,53,"SHWRS","afternoon"
2023-10-19 20:50:00,"FORT SMITH",50,81,0,51,84,"SUNNY",52,86,"MOCLDY","afternoon"
2023-10-19 20:50:00,"FORT WAYNE",49,56,0.52,49,58,"SHWRS",42,59,"SHWRS","afternoon"
2023-10-19 20:50:00,"FRESNO",61,91,0,64,92,"SUNNY",60,80,"PTCLDY","afternoon"
2023-10-19 20:50:00,"GOODLAND",42,82,0,45,89,"SUNNY",44,74,"SUNNY","afternoon"
2023-10-19 20:50:00,"GRAND JUNCTION",47,79,0,48,79,"SUNNY",48,79,"SUNNY","afternoon"
2023-10-19 20:50:00,"GRAND RAPIDS",52,56,0.26,51,56,"SHWRS",43,53,"SHWRS","afternoon"
2023-10-19 20:50:00,"GREAT FALLS",56,81,0,49,73,"SUNNY",39,66,"PTCLDY","afternoon"
2023-10-19 20:50:00,"GREEN BAY",48,63,0.16,46,57,"PTCLDY",41,52,"SHWRS","afternoon"
2023-10-19 20:50:00,"GREENSBORO",44,70,0,53,65,"SHWRS",45,68,"SUNNY","afternoon"
2023-10-19 20:50:00,"HARRISBURG",43,69,0,55,67,"SHWRS",53,63,"MOCLDY","afternoon"
