country,city,lead_time_group,n_obs,variable,rmse
Albania,tirana,0h,372,temperature_2m,1.3724634472285573
Albania,tirana,0h,372,relative_humidity_2m,11.849867292029462
Albania,tirana,0h,372,dew_point_2m,1.596518389415523
Albania,tirana,0h,372,apparent_temperature,1.6105332049669374
Albania,tirana,0h,372,precipitation,0.6899041541659855
Albania,tirana,0h,372,rain,0.7857261554752072
Albania,tirana,0h,372,showers,0.3959472105576539
Albania,tirana,0h,372,snowfall,0
Albania,tirana,0h,372,snow_depth,0
Albania,tirana,0h,372,weather_code,19.552245972794154
Albania,tirana,0h,372,pressure_msl,0.5006984369170655
Albania,tirana,0h,372,surface_pressure,0.48637345711391833
Albania,tirana,0h,372,cloud_cover,28.729550932344793
Albania,tirana,0h,372,wind_speed_10m,4.151020084501577
Albania,tirana,0h,372,wind_gusts_10m,8.526933924367986
Albania,tirana,1-6h,2130,temperature_2m,1.4830497698048808
Albania,tirana,1-6h,2130,relative_humidity_2m,12.663243916109066
Albania,tirana,1-6h,2130,dew_point_2m,1.7657327675989847
Albania,tirana,1-6h,2130,apparent_temperature,1.6528024287689684
Albania,tirana,1-6h,2130,precipitation,1.1563663340791055
Albania,tirana,1-6h,2130,rain,1.2028253125015147
Albania,tirana,1-6h,2130,showers,0.3321575507160007
Albania,tirana,1-6h,2130,snowfall,0
Albania,tirana,1-6h,2130,snow_depth,0
Albania,tirana,1-6h,2130,weather_code,23.451097855118185
Albania,tirana,1-6h,2130,pressure_msl,0.5283600280574103
Albania,tirana,1-6h,2130,surface_pressure,0.5120060885788211
Albania,tirana,1-6h,2130,cloud_cover,28.532955988904984
Albania,tirana,1-6h,2130,wind_speed_10m,3.997808084884525
Albania,tirana,1-6h,2130,wind_gusts_10m,8.428540826826644
Albania,tirana,13-18h,1012,temperature_2m,1.463582966153347
Albania,tirana,13-18h,1012,relative_humidity_2m,11.275826744620705
Albania,tirana,13-18h,1012,dew_point_2m,1.6108328928525304
