country,lead_time_group,n_obs,variable,rmse
Albania,0h,372,temperature_2m,1.3724634472285573
Albania,0h,372,relative_humidity_2m,11.849867292029462
Albania,0h,372,dew_point_2m,1.596518389415523
Albania,0h,372,apparent_temperature,1.6105332049669374
Albania,0h,372,precipitation,0.6899041541659855
Albania,0h,372,rain,0.7857261554752072
Albania,0h,372,showers,0.3959472105576539
Albania,0h,372,snowfall,0
Albania,0h,372,snow_depth,0
Albania,0h,372,weather_code,19.552245972794154
Albania,0h,372,pressure_msl,0.5006984369170655
Albania,0h,372,surface_pressure,0.48637345711391833
Albania,0h,372,cloud_cover,28.729550932344793
Albania,0h,372,wind_speed_10m,4.151020084501577
Albania,0h,372,wind_gusts_10m,8.526933924367986
Albania,1-6h,2130,temperature_2m,1.4830497698048808
Albania,1-6h,2130,relative_humidity_2m,12.663243916109066
Albania,1-6h,2130,dew_point_2m,1.7657327675989847
Albania,1-6h,2130,apparent_temperature,1.6528024287689684
Albania,1-6h,2130,precipitation,1.1563663340791055
Albania,1-6h,2130,rain,1.2028253125015147
Albania,1-6h,2130,showers,0.3321575507160007
Albania,1-6h,2130,snowfall,0
Albania,1-6h,2130,snow_depth,0
Albania,1-6h,2130,weather_code,23.451097855118185
Albania,1-6h,2130,pressure_msl,0.5283600280574103
Albania,1-6h,2130,surface_pressure,0.5120060885788211
Albania,1-6h,2130,cloud_cover,28.532955988904984
Albania,1-6h,2130,wind_speed_10m,3.997808084884525
Albania,1-6h,2130,wind_gusts_10m,8.428540826826644
Albania,13-18h,1012,temperature_2m,1.463582966153347
Albania,13-18h,1012,relative_humidity_2m,11.275826744620705
Albania,13-18h,1012,dew_point_2m,1.6108328928525304
Albania,13-18h,1012,apparent_temperature,1.7417791095323087
Albania,13-18h,1012,precipitation,1.2235905822796604
Albania,13-18h,1012,rain,1.2577428179271908
Albania,13-18h,1012,showers,0.34094729693683973
Albania,13-18h,1012,snowfall,0
Albania,13-18h,1012,snow_depth,0
Albania,13-18h,1012,weather_code,27.031931052788067
Albania,13-18h,1012,pressure_msl,0.6127434581083268
Albania,13-18h,1012,surface_pressure,0.5947564021224265
Albania,13-18h,1012,cloud_cover,27.92119061529243
Albania,13-18h,1012,wind_speed_10m,3.8661345097436572
Albania,13-18h,1012,wind_gusts_10m,8.446563021576903
Albania,19-24h,364,temperature_2m,1.5823546232896575
Albania,19-24h,364,relative_humidity_2m,12.39438901765146
Albania,19-24h,364,dew_point_2m,1.7674094782297236
Albania,19-24h,364,apparent_temperature,1.8649161074729574
Albania,19-24h,364,precipitation,1.3720923302159234
Albania,19-24h,364,rain,1.4208417254540384
Albania,19-24h,364,showers,0.4922475924854202
Albania,19-24h,364,snowfall,0
Albania,19-24h,364,snow_depth,0
Albania,19-24h,364,weather_code,32.01424820157562
Albania,19-24h,364,pressure_msl,0.7180177230051197
Albania,19-24h,364,surface_pressure,0.6951559236903345
Albania,19-24h,364,cloud_cover,28.655590329687104
Albania,19-24h,364,wind_speed_10m,3.714125102190996
Albania,19-24h,364,wind_gusts_10m,7.60920495189872
Albania,7-12h,1478,temperature_2m,1.3298895535449085
Albania,7-12h,1478,relative_humidity_2m,11.984484782728146
Albania,7-12h,1478,dew_point_2m,1.8399969112170345
Albania,7-12h,1478,apparent_temperature,1.4898438312143012
Albania,7-12h,1478,precipitation,1.0884434143793689
Albania,7-12h,1478,rain,1.1275729860951722
Albania,7-12h,1478,showers,0.3274124576982703
Albania,7-12h,1478,snowfall,0
Albania,7-12h,1478,snow_depth,0
Albania,7-12h,1478,weather_code,24.107197449659317
Albania,7-12h,1478,pressure_msl,0.5796970885549
Albania,7-12h,1478,surface_pressure,0.5600961641770508
Albania,7-12h,1478,cloud_cover,28.179182135375644
Albania,7-12h,1478,wind_speed_10m,3.597868110299056
Albania,7-12h,1478,wind_gusts_10m,8.425449558963367
Algeria,0h,372,temperature_2m,1.9643324949044738
Algeria,0h,372,relative_humidity_2m,11.87547395771765
Algeria,0h,372,dew_point_2m,1.818054614318602
Algeria,0h,372,apparent_temperature,2.1144027347530514
Algeria,0h,372,precipitation,0.541751440843413
Algeria,0h,372,rain,0.5673935881475642
Algeria,0h,372,showers,0.1948255354087647
