City,Country,Continent,Elevation,Population,Latitude,Longitude
tirana,Albania,Europe,107,418495,41.3272,19.8186
algiers,Algeria,Africa,39,2712944,36.7325,3.0872
luanda,Angola,Africa,8,Unknown,-8.8383,13.2344
buenos_aires,Argentina,Americas,41,2965403,-34.6036,-58.3814
oranjestad,Aruba,Americas,9,28295,12.5186,-70.0358
brisbane,Australia,Oceania,21,2176799,-27.4678,153.0281
canberra,Australia,Oceania,577,356585,-35.2931,149.1269
melbourne,Australia,Oceania,37,4269138,-37.8142,144.9631
perth,Australia,Oceania,35,1945140,-31.9558,115.8597
sydney,Australia,Oceania,40,4451841,-33.8667,151.2
graz,Austria,Europe,362,Unknown,47.0708,15.4386
vienna,Austria,Europe,188,1766746,48.2083,16.3725
antwerp,Belgium,Europe,13,498473,51.2178,4.4003
brussels,Belgium,Europe,29,174383,50.8467,4.3525
la_paz,Bolivia,Americas,3,789585,-16.4958,-68.1333
sucre,Bolivia,Americas,2,193876,-19.0475,-65.26
brasília,Brazil,Americas,0,Unknown,,
curitiba,Brazil,Americas,913,1751907,-25.4297,-49.2719
natal,Brazil,Americas,39,803739,-5.795,-35.2089
rio_de_janeiro,Brazil,Americas,16,6520266,-22.9111,-43.2056
são_paulo,Brazil,Americas,0,Unknown,,
sofia,Bulgaria,Europe,557,1210820,42.6979,23.3217
phnom_penh,Cambodia,Asia,16,Unknown,11.5696,104.921
calgary,Canada,Americas,1,1265531,51.05,-114.0667
edmonton,Canada,Americas,0,Unknown,53.5344,-113.4903
montreal,Canada,Americas,22,1741296,45.5089,-73.5617
ottawa,Canada,Americas,71,947031,45.4247,-75.695
quebec_city,Canada,Americas,0,Unknown,46.8139,-71.2081
toronto,Canada,Americas,90,2808503,43.7417,-79.3733
vancouver,Canada,Americas,32,647540,49.25,-123.1
santiago,Chile,Americas,585,5150010,-33.4372,-70.6506
beijing,China,Asia,51,11509595,39.9067,116.3975
chongqing,China,Asia,201,9691901,29.5637,106.5504
guangzhou,China,Asia,18,8524826,23.13,113.26
hong_kong,China,Asia,4,7305700,22.3,114.2
macau,China,Asia,43,642900,22.2006,113.5461
shanghai,China,Asia,15,24150000,31.2286,121.4747
shenzhen,China,Asia,11,7008831,22.5415,114.0596
bogota,Colombia,Americas,2,6763325,4.7111,-74.0722
medellin,Colombia,Americas,1,2183557,6.2308,-75.5906
san_jose,Costa Rica,Americas,1,333980,37.3012,-121.848
havana,Cuba,Americas,24,2125320,23.1367,-82.3589
larnaca,Cyprus,Europe,11,Unknown,34.9167,33.6333
limassol,Cyprus,Europe,11,Unknown,34.6747,33.0442
nicosia,Cyprus,Europe,149,Unknown,35.1725,33.365
prague,Czechia,Europe,201,1259079,50.0875,14.4214
copenhagen,Denmark,Europe,13,583525,55.6805,12.5615
kinshasa,DR Congo,Africa,284,Unknown,-4.3219,15.3119
cuenca,Ecuador,Americas,2,331888,-2.8974,-79.0045
quito,Ecuador,Americas,2,1619146,-0.22,-78.5125
cairo,Egypt,Africa,22,12000000,30.0444,31.2358
tallinn,Estonia,Europe,0,Unknown,59.4372,24.7453
helsinki,Finland,Europe,13,616690,60.1708,24.9375
aix-en-provence,France,Europe,0,Unknown,43.5263,5.4454
bordeaux,France,Europe,18,239156,44.84,-0.58
cannes,France,Europe,11,73603,43.5513,7.0128
lyon,France,Europe,182,484343,45.76,4.84
marseille,France,Europe,13,850725,43.2964,5.37
nice,France,Europe,15,343304,43.7034,7.2663
paris,France,Europe,39,2243833,48.8567,2.3522
strasbourg,France,Europe,148,271781,48.5833,7.7458
toulon,France,Europe,8,164531,43.1258,5.9306
toulouse,France,Europe,150,441801,43.6045,1.444
tbilisi,Georgia,Antarctic,424,1062282,41.7225,44.7925
berlin,Germany,Europe,54,3469849,52.52,13.405
düsseldorf,Germany,Europe,0,Unknown,,
frankfurt,Germany,Europe,105,717624,50.1106,8.6822
hamburg,Germany,Europe,8,1762791,53.55,10
munich,Germany,Europe,524,1429584,48.1375,11.575
stuttgart,Germany,Europe,245,612441,48.7775,9.18
accra,Ghana,Africa,0,Unknown,5.5461,-0.2067
athens,Greece,Europe,85,664046,37.9842,23.7281
thessaloniki,Greece,Europe,33,315196,40.6403,22.9356
budapest,Hungary,Europe,110,1758512,47.4983,19.0408
bangalore,India,Asia,910,4301326,12.9789,77.5917
chennai,India,Asia,11,4343645,13.0825,80.275
kolkata,India,Asia,15,4572876,22.5675,88.37
mumbai,India,Asia,6,11978450,19.0761,72.8775
new_delhi,India,Asia,215,9879172,28.6139,77.2089
jakarta,Indonesia,Asia,3,9607787,-6.175,106.8275
tehran,Iran,Asia,1,8154051,35.6889,51.3897
baghdad,Iraq,Asia,37,3841268,33.3153,44.3661
dublin,Ireland,Europe,17,527612,53.3497,-6.2603
tel_aviv,Israel,Asia,27,429514,,
bari,Italy,Europe,13,Unknown,41.1253,16.8667
bologna,Italy,Europe,76,385191,44.4939,11.3428
florence,Italy,Europe,52,379122,43.7714,11.2542
genoa,Italy,Europe,31,594732,44.4072,8.934
milan,Italy,Europe,132,1330662,45.4669,9.19
naples,Italy,Europe,18,983755,40.8358,14.2486
rome,Italy,Europe,37,2867671,41.8931,12.4828
turin,Italy,Europe,247,899455,45.0792,7.6761
venice,Italy,Europe,10,264556,45.4397,12.3319
fukuoka,Japan,Asia,12,1538681,33.59,130.4017
kyoto,Japan,Asia,45,Unknown,35.0117,135.7683
osaka,Japan,Asia,1,Unknown,34.6939,135.5022
tokyo,Japan,Asia,43,9272740,35.687,139.7495
riga,Latvia,Europe,16,640319,56.9475,24.1069
beirut,Lebanon,Asia,61,361366,33.8981,35.5058
tripoli,Libya,Africa,4,Unknown,32.8872,13.1914
luxembourg,Luxembourg,Europe,313,111287,49.6117,6.1319
kuala_lumpur,Malaysia,Asia,44,1588750,3.1686,101.698
valletta,Malta,Europe,56,Unknown,35.8983,14.5125
