city_in_cities_and_countries.csv,normalized,city_in_Forecast_Data_2026_01.csv,city_in_Forecast_Data_2026_02.csv
tirana,tirana,tirana,tirana
algiers,algiers,algiers,algiers
luanda,luanda,luanda,luanda
buenos_aires,buenos_aires,buenos_aires,buenos_aires
oranjestad,oranjestad,oranjestad,oranjestad
brisbane,brisbane,brisbane,brisbane
canberra,canberra,canberra,canberra
melbourne,melbourne,melbourne,melbourne
perth,perth,perth,perth
sydney,sydney,sydney,sydney
graz,graz,graz,graz
vienna,vienna,vienna,vienna
antwerp,antwerp,antwerp,antwerp
brussels,brussels,brussels,brussels
la_paz,la_paz,la_paz,la_paz
sucre,sucre,sucre,sucre
brasília,brasília,,
curitiba,curitiba,curitiba,curitiba
natal,natal,natal,natal
rio_de_janeiro,rio_de_janeiro,rio_de_janeiro,rio_de_janeiro
são_paulo,são_paulo,,
sofia,sofia,sofia,sofia
phnom_penh,phnom_penh,phnom_penh,phnom_penh
calgary,calgary,calgary,calgary
edmonton,edmonton,edmonton,edmonton
montreal,montreal,montreal,montreal
ottawa,ottawa,ottawa,ottawa
quebec_city,quebec_city,quebec_city,quebec_city
toronto,toronto,toronto,toronto
vancouver,vancouver,vancouver,vancouver
santiago,santiago,santiago,santiago
beijing,beijing,beijing,beijing
chongqing,chongqing,chongqing,chongqing
guangzhou,guangzhou,guangzhou,guangzhou
hong_kong,hong_kong,hong_kong,hong_kong
macau,macau,macau,macau
shanghai,shanghai,shanghai,shanghai
shenzhen,shenzhen,shenzhen,shenzhen
bogota,bogota,bogota,bogota
medellin,medellin,medellin,medellin
san_jose,san_jose,san_jose,san_jose
havana,havana,havana,havana
larnaca,larnaca,larnaca,larnaca
limassol,limassol,limassol,limassol
nicosia,nicosia,nicosia,nicosia
prague,prague,prague,prague
copenhagen,copenhagen,copenhagen,copenhagen
kinshasa,kinshasa,kinshasa,kinshasa
cuenca,cuenca,cuenca,cuenca
quito,quito,quito,quito
cairo,cairo,cairo,cairo
tallinn,tallinn,tallinn,tallinn
helsinki,helsinki,helsinki,helsinki
aix-en-provence,aix-en-provence,aix-en-provence,aix-en-provence
bordeaux,bordeaux,bordeaux,bordeaux
cannes,cannes,cannes,cannes
lyon,lyon,lyon,lyon
marseille,marseille,marseille,marseille
nice,nice,nice,nice
paris,paris,paris,paris
strasbourg,strasbourg,strasbourg,strasbourg
toulon,toulon,toulon,toulon
toulouse,toulouse,toulouse,toulouse
tbilisi,tbilisi,tbilisi,tbilisi
berlin,berlin,berlin,berlin
düsseldorf,düsseldorf,,
frankfurt,frankfurt,frankfurt,frankfurt
hamburg,hamburg,hamburg,hamburg
munich,munich,munich,munich
stuttgart,stuttgart,stuttgart,stuttgart
accra,accra,accra,accra
athens,athens,athens,athens
thessaloniki,thessaloniki,thessaloniki,thessaloniki
budapest,budapest,budapest,budapest
bangalore,bangalore,bangalore,bangalore
chennai,chennai,chennai,chennai
kolkata,kolkata,kolkata,kolkata
mumbai,mumbai,mumbai,mumbai
new_delhi,new_delhi,new_delhi,new_delhi
jakarta,jakarta,jakarta,jakarta
tehran,tehran,tehran,tehran
baghdad,baghdad,baghdad,baghdad
dublin,dublin,dublin,dublin
tel_aviv,tel_aviv,,
bari,bari,bari,bari
bologna,bologna,bologna,bologna
florence,florence,florence,florence
genoa,genoa,genoa,genoa
milan,milan,milan,milan
naples,naples,naples,naples
rome,rome,rome,rome
turin,turin,turin,turin
venice,venice,venice,venice
fukuoka,fukuoka,fukuoka,fukuoka
kyoto,kyoto,kyoto,kyoto
osaka,osaka,osaka,osaka
tokyo,tokyo,tokyo,tokyo
riga,riga,riga,riga
beirut,beirut,beirut,beirut
tripoli,tripoli,tripoli,tripoli
luxembourg,luxembourg,luxembourg,luxembourg
kuala_lumpur,kuala_lumpur,kuala_lumpur,kuala_lumpur
valletta,valletta,valletta,valletta
mexico_city,mexico_city,mexico_city,mexico_city
chisinau,chisinau,chisinau,chisinau
casablanca,casablanca,casablanca,casablanca
marrakesh,marrakesh,,
amsterdam,amsterdam,amsterdam,amsterdam
utrecht,utrecht,utrecht,utrecht
auckland,auckland,auckland,auckland
lagos,lagos,lagos,lagos
oslo,oslo,oslo,oslo
karachi,karachi,karachi,karachi
panama_city,panama_city,panama_city,panama_city
asuncion,asuncion,asuncion,asuncion
lima,lima,lima,lima
manila,manila,manila,manila
warsaw,warsaw,warsaw,warsaw
aveiro,aveiro,aveiro,aveiro
braga,braga,braga,braga
coimbra,coimbra,coimbra,coimbra
funchal,funchal,funchal,funchal
lisbon,lisbon,lisbon,lisbon
porto,porto,porto,porto
doha,doha,doha,doha
bucharest,bucharest,bucharest,bucharest
arkhangelsk,arkhangelsk,arkhangelsk,arkhangelsk
moscow,moscow,moscow,moscow
novosibirsk,novosibirsk,novosibirsk,novosibirsk
orenburg,orenburg,orenburg,orenburg
rostov-on-don,rostov-on-don,,
simferopol,simferopol,simferopol,simferopol
sochi,sochi,sochi,sochi
st._petersburg,st_petersburg,st._petersburg,st._petersburg
vladivostok,vladivostok,vladivostok,vladivostok
riyadh,riyadh,riyadh,riyadh
belgrade,belgrade,belgrade,belgrade
singapore,singapore,singapore,singapore
bratislava,bratislava,bratislava,bratislava
cape_town,cape_town,cape_town,cape_town
johannesburg,johannesburg,johannesburg,johannesburg
seoul,seoul,seoul,seoul
barcelona,barcelona,barcelona,barcelona
bilbao,bilbao,bilbao,bilbao
cordoba,cordoba,cordoba,cordoba
donostia-san_sebastian,donostia-san_sebastian,,
girona,girona,girona,girona
las_palmas_de_gran_canaria,las_palmas_de_gran_canaria,,
madrid,madrid,madrid,madrid
malaga,malaga,malaga,malaga
marbella,marbella,marbella,marbella
palma_de_mallorca,palma_de_mallorca,,
sabadell,sabadell,sabadell,sabadell
salamanca,salamanca,salamanca,salamanca
seville,seville,,
valencia,valencia,valencia,valencia
colombo,colombo,colombo,colombo
stockholm,stockholm,stockholm,stockholm
geneva,geneva,geneva,geneva
lausanne,lausanne,lausanne,lausanne
zurich,zurich,zurich,zurich
taipei,taipei,taipei,taipei
bangkok,bangkok,bangkok,bangkok
istanbul,istanbul,istanbul,istanbul
abu_dhabi,abu_dhabi,abu_dhabi,abu_dhabi
dubai,dubai,dubai,dubai
bangor_(north_wales),bangor_north_wales,,
birmingham,birmingham,birmingham,birmingham
brighton,brighton,brighton,brighton
edinburgh,edinburgh,edinburgh,edinburgh
glasgow,glasgow,glasgow,glasgow
london,london,london,london
