"date_and_time","city","previous_lo","previous_hi","previous_precip","today_lo","today_hi","today_outlook","tomorrow_lo","tomorrow_hi","tomorrow_outlook","email_period"
2025-06-11 20:50:00,"ABILENE TX",68,84,0.08,NA,NA,NA,NA,NA,NA,"afternoon"
2025-06-11 20:50:00,"AKRON CANTON",54,80,0,62,84,"PTCLDY",62,82,"SHWRS","afternoon"
2025-06-11 20:50:00,"ALBANY NY",52,79,0,64,80,"PTCLDY",54,77,"PTCLDY","afternoon"
2025-06-11 20:50:00,"ALBUQUERQUE",63,91,0.06,62,95,"SUNNY",62,95,"SUNNY","afternoon"
2025-06-11 20:50:00,"ALLENTOWN",55,81,0,62,88,"SHWRS",62,83,"SHWRS","afternoon"
2025-06-11 20:50:00,"AMARILLO",60,82,0,59,87,"SUNNY",61,93,"SUNNY","afternoon"
2025-06-11 20:50:00,"ANCHORAGE",49,63,0,49,63,"SUNNY",52,67,"SUNNY","afternoon"
2025-06-11 20:50:00,"ASHEVILLE",56,82,0,61,83,"TSTRMS",64,83,"SHWRS","afternoon"
2025-06-11 20:50:00,"ATLANTA",69,87,0.01,70,86,"TSTRMS",69,86,"TSTRMS","afternoon"
2025-06-11 20:50:00,"ATLANTIC CITY",64,85,0,65,89,"PTCLDY",67,81,"PTCLDY","afternoon"
2025-06-11 20:50:00,"AUSTIN",70,89,0.05,71,88,"TSTRMS",75,92,"SHWRS","afternoon"
2025-06-11 20:50:00,"BALTIMORE",66,87,0,67,93,"SUNNY",70,89,"TSTRMS","afternoon"
2025-06-11 20:50:00,"BATON ROUGE",68,91,0.67,74,90,"SHWRS",75,90,"SHWRS","afternoon"
2025-06-11 20:50:00,"BILLINGS",59,80,0,58,80,"TSTRMS",56,82,"TSTRMS","afternoon"
2025-06-11 20:50:00,"BIRMINGHAM",65,86,0,68,86,"TSTRMS",72,87,"TSTRMS","afternoon"
2025-06-11 20:50:00,"BISMARCK",49,74,0,54,66,"SHWRS",53,67,"CLOUDY","afternoon"
2025-06-11 20:50:00,"BOISE",68,83,0.11,60,89,"SUNNY",58,88,"SUNNY","afternoon"
2025-06-11 20:50:00,"BOSTON",57,83,0,66,86,"SUNNY",61,77,"PTCLDY","afternoon"
2025-06-11 20:50:00,"BRIDGEPORT",58,82,0.02,65,87,"SUNNY",62,80,"PTCLDY","afternoon"
2025-06-11 20:50:00,"BROWNSVILLE",83,94,0,81,94,"PTCLDY",81,94,"PTCLDY","afternoon"
2025-06-11 20:50:00,"BUFFALO",61,74,0,61,72,"SHWRS",54,73,"PTCLDY","afternoon"
2025-06-11 20:50:00,"BURLINGTON VT",57,79,0,64,78,"PTCLDY",53,69,"PTCLDY","afternoon"
2025-06-11 20:50:00,"CARIBOU",54,73,0.03,57,67,"TSTRMS",44,63,"PTCLDY","afternoon"
2025-06-11 20:50:00,"CASPER",45,90,0,52,85,"SUNNY",54,88,"TSTRMS","afternoon"
2025-06-11 20:50:00,"CHARLESTON SC",72,91,0.05,74,88,"SHWRS",74,88,"SHWRS","afternoon"
2025-06-11 20:50:00,"CHARLESTON WV",59,85,0,60,90,"PTCLDY",67,88,"SHWRS","afternoon"
2025-06-11 20:50:00,"CHARLOTTE",68,89,0,69,88,"TSTRMS",70,86,"TSTRMS","afternoon"
2025-06-11 20:50:00,"CHATTANOOGA",63,87,0,67,88,"TSTRMS",70,88,"TSTRMS","afternoon"
2025-06-11 20:50:00,"CHEYENNE",55,82,0,51,85,"TSTRMS",50,83,"SHWRS","afternoon"
2025-06-11 20:50:00,"CHICAGO",64,92,0,65,81,"MOCLDY",62,82,"SHWRS","afternoon"
2025-06-11 20:50:00,"CINCINNATI",57,81,0,62,86,"PTCLDY",68,84,"TSTRMS","afternoon"
2025-06-11 20:50:00,"CLEVELAND",60,83,0,64,81,"PTCLDY",63,81,"SHWRS","afternoon"
2025-06-11 20:50:00,"COLORADO SPGS",54,83,0,55,86,"TSTRMS",54,86,"TSTRMS","afternoon"
2025-06-11 20:50:00,"COLUMBIA SC",70,89,0.06,71,90,"TSTRMS",71,87,"TSTRMS","afternoon"
2025-06-11 20:50:00,"COLUMBUS GA",69,90,0,71,89,"TSTRMS",70,89,"TSTRMS","afternoon"
2025-06-11 20:50:00,"COLUMBUS OH",55,83,0,63,88,"MOCLDY",67,86,"TSTRMS","afternoon"
2025-06-11 20:50:00,"LINCOLN",63,94,0,66,89,"SUNNY",66,90,"MOCLDY","afternoon"
2025-06-11 20:50:00,"LITTLE ROCK",69,88,0,71,84,"SHWRS",70,84,"TSTRMS","afternoon"
2025-06-11 20:50:00,"LOS ANGELES",NA,NA,NA,63,80,"PTCLDY",63,79,"PTCLDY","afternoon"
