city,forecast_type,mae,rmse,bias,n
Overall,Today Hi,1.874468085106383,2.6452760712693437,-0.23965183752417796,5170
Overall,Today Lo,1.8847195357833655,2.615679547861061,-0.6460348162475822,5170
Overall,Tomorrow Hi,2.3173988774917746,3.328245908051708,-0.25159667118250434,5167
Overall,Tomorrow Lo,2.1826978904586802,3.125093379677027,-0.6398296884071996,5167
Nashville,Today Hi,2.039443155452436,2.9414234917421567,-0.18561484918793503,1724
Nashville,Today Lo,2.1258700696055683,3.0360364624609026,-0.6397911832946636,1724
Nashville,Tomorrow Hi,2.595473012188044,3.8105148228713284,-0.2379570516540917,1723
Nashville,Tomorrow Lo,2.5200232153221127,3.6819271241633027,-0.6256529309344168,1723
Philadelphia,Today Hi,1.8114849187935034,2.572273182837735,-0.43793503480278423,1724
Philadelphia,Today Lo,1.9147331786542923,2.581502107737001,-0.6305104408352669,1724
Philadelphia,Tomorrow Hi,2.2733604178757982,3.2599684170391683,-0.4347069065583285,1723
Philadelphia,Tomorrow Lo,2.2124201973302378,3.1145661567459975,-0.5850261172373766,1723
Seattle,Today Hi,1.7723577235772359,2.3921571427451265,-0.09523809523809523,1722
Seattle,Today Lo,1.613240418118467,2.154324716141556,-0.667828106852497,1722
Seattle,Tomorrow Hi,2.083091226031377,2.842668991622591,-0.08192911098198721,1721
Seattle,Tomorrow Lo,1.8152237071470076,2.457068920803907,-0.7088901801278327,1721
