date_and_time,city,previous_lo,previous_hi,previous_precip,today_lo,today_hi,today_outlook,tomorrow_lo,tomorrow_hi,tomorrow_outlook,email_period,source_file
1/30/2021 7:50,NASHVILLE,32,46,0,44,51,MOCLDY,34,56,SHWRS,afternoon,7_hundred_seventy_five_million.csv
1/30/2021 19:50,NASHVILLE,32,51,0.01,45,56,SHWRS,34,38,CLOUDY,afternoon,7_hundred_seventy_five_million.csv
1/31/2021 7:50,NASHVILLE,45,51,0.28,33,52,MOCLDY,27,38,SNOSHW,afternoon,7_hundred_seventy_five_million.csv
1/31/2021 19:50,NASHVILLE,45,57,0.27,33,38,RNSNOW,27,42,PTCLDY,afternoon,7_hundred_seventy_five_million.csv
2/1/2021 7:50,NASHVILLE,34,57,0.01,26,38,SNOSHW,24,42,PTCLDY,morning,5_hundred_twenty_five_million.csv
2/1/2021 19:50,NASHVILLE,34,41,0.02,28,40,PTCLDY,25,44,SUNNY,morning,5_hundred_twenty_five_million.csv
2/2/2021 7:50,NASHVILLE,29,41,0.01,26,42,PTCLDY,29,46,SUNNY,afternoon,4_hundred_million.csv
2/2/2021 19:50,NASHVILLE,29,42,0,26,44,SUNNY,29,54,SHWRS,afternoon,4_hundred_million.csv
2/3/2021 7:50,NASHVILLE,28,42,0,29,43,SUNNY,34,53,SHWRS,afternoon,4_hundred_million.csv
2/3/2021 19:50,NASHVILLE,27,46,0,28,55,SHWRS,32,47,SUNNY,afternoon,4_hundred_million.csv
2/4/2021 7:50,NASHVILLE,27,46,0,30,57,SHWRS,30,46,SUNNY,afternoon,7_hundred_seventy_five_million.csv
2/4/2021 19:50,NASHVILLE,27,55,0,30,47,SUNNY,30,50,MOCLDY,afternoon,7_hundred_seventy_five_million.csv
2/5/2021 7:50,NASHVILLE,31,55,0.16,32,49,SUNNY,31,51,MOCLDY,morning,5_hundred_twenty_five_million.csv
2/5/2021 19:50,NASHVILLE,30,50,0.16,32,50,MOCLDY,30,42,PTCLDY,morning,5_hundred_twenty_five_million.csv
2/6/2021 7:50,NASHVILLE,33,50,0,30,51,MOCLDY,27,40,MOCLDY,morning,5_hundred_twenty_five_million.csv
2/6/2021 19:53,NASHVILLE,33,50,0,29,40,MOCLDY,26,55,PTCLDY,morning,5_hundred_twenty_five_million.csv
2/7/2021 7:50,NASHVILLE,32,50,0.17,26,39,MOCLDY,41,54,PTCLDY,afternoon,8_two_hundred_million.csv
