time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,city,retrieved_at
2026-09-01T00:00,23.4,88,21.3,27.4,0,0.0,0.0,0.0,0.0,0.0,1,1015.4,1002.6,36,24000.0,3.6,7.6,tirana,2026-09-01T03:27:31.786359
2026-09-01T01:00,23.3,85,20.6,27.0,0,0.0,0.0,0.0,0.0,0.0,2,1015.1,1002.3,38,27000.0,3.6,7.2,tirana,2026-09-01T03:27:31.786359
2026-09-01T02:00,23.1,83,20.1,26.6,0,0.0,0.0,0.0,0.0,0.0,0,1015.1,1002.3,1,29460.0,3.3,7.2,tirana,2026-09-01T03:27:31.786359
2026-09-01T03:00,22.9,82,19.7,26.0,0,0.0,0.0,0.0,0.0,0.0,0,1015.3,1002.5,4,29980.0,3.8,7.6,tirana,2026-09-01T03:27:31.786359
2026-09-01T04:00,22.7,79,18.9,25.5,0,0.0,0.0,0.0,0.0,0.0,1,1015.6,1002.8,22,32980.0,4.1,7.9,tirana,2026-09-01T03:27:31.786359
2026-09-01T05:00,23.3,73,18.2,25.8,0,0.0,0.0,0.0,0.0,0.0,1,1015.9,1003.1,28,37300.0,3.8,8.3,tirana,2026-09-01T03:27:31.786359
2026-09-01T06:00,26.5,64,19.1,29.6,0,0.0,0.0,0.0,0.0,0.0,0,1015.9,1003.3,0,39580.0,2.2,7.6,tirana,2026-09-01T03:27:31.786359
2026-09-01T07:00,28.6,59,19.9,32.0,0,0.0,0.0,0.0,0.0,0.0,0,1015.9,1003.3,0,39700.0,3.3,7.9,tirana,2026-09-01T03:27:31.786359
2026-09-01T08:00,30.5,56,20.8,33.9,0,0.0,0.0,0.0,0.0,0.0,0,1015.7,1003.2,0,39800.0,6.3,14.0,tirana,2026-09-01T03:27:31.786359
2026-09-01T09:00,32.4,49,20.4,35.6,0,0.0,0.0,0.0,0.0,0.0,0,1015.8,1003.4,0,40820.0,10.9,20.5,tirana,2026-09-01T03:27:31.786359
2026-09-01T10:00,33.5,47,20.7,36.7,0,0.0,0.0,0.0,0.0,0.0,1,1015.5,1003.1,23,41060.0,15.6,29.5,tirana,2026-09-01T03:27:31.786359
2026-09-01T11:00,33.4,49,21.3,36.3,0,0.0,0.0,0.0,0.0,0.0,1,1015.2,1002.8,35,40600.0,20.0,37.4,tirana,2026-09-01T03:27:31.786359
2026-09-01T12:00,33.5,47,20.6,35.7,0,0.0,0.0,0.0,0.0,0.0,1,1014.8,1002.5,24,40960.0,20.7,38.2,tirana,2026-09-01T03:27:31.786359
2026-09-01T13:00,33.1,48,20.7,35.1,0,0.0,0.0,0.0,0.0,0.0,1,1014.6,1002.2,11,40840.0,20.5,38.5,tirana,2026-09-01T03:27:31.786359
2026-09-01T14:00,32.3,52,21.2,34.0,0,0.0,0.0,0.0,0.0,0.0,1,1014.8,1002.4,19,40500.0,20.6,39.6,tirana,2026-09-01T03:27:31.786359
2026-09-01T15:00,31.0,58,21.8,33.3,0,0.0,0.0,0.0,0.0,0.0,1,1014.9,1002.5,22,39640.0,17.9,38.2,tirana,2026-09-01T03:27:31.786359
2026-09-01T16:00,29.6,63,21.9,32.3,0,0.0,0.0,0.0,0.0,0.0,1,1015.2,1002.7,15,38560.0,14.8,33.1,tirana,2026-09-01T03:27:31.786359
2026-09-01T17:00,28.0,72,22.5,31.8,0,0.0,0.0,0.0,0.0,0.0,0,1015.3,1002.7,1,36080.0,10.0,27.4,tirana,2026-09-01T03:27:31.786359
2026-09-01T18:00,26.3,84,23.4,31.4,0,0.0,0.0,0.0,0.0,0.0,0,1015.8,1003.1,4,28000.0,4.1,18.7,tirana,2026-09-01T03:27:31.786359
2026-09-01T19:00,25.3,90,23.6,30.9,0,0.0,0.0,0.0,0.0,0.0,1,1016.1,1003.4,21,21880.0,2.1,7.6,tirana,2026-09-01T03:27:31.786359
2026-09-01T20:00,24.6,94,23.6,30.0,0,0.0,0.0,0.0,0.0,0.0,1,1016.4,1003.7,29,14980.0,2.7,5.0,tirana,2026-09-01T03:27:31.786359
2026-09-01T21:00,23.8,95,22.9,28.7,0,0.0,0.0,0.0,0.0,0.0,45,1016.3,1003.5,47,8780.0,4.1,7.9,tirana,2026-09-01T03:27:31.786359
2026-09-01T22:00,23.3,85,20.6,27.0,0,0.0,0.0,0.0,0.0,0.0,1,1016.6,1003.8,37,22200.0,3.3,7.9,tirana,2026-09-01T03:27:31.786359
2026-09-01T23:00,22.8,77,18.6,25.5,0,0.0,0.0,0.0,0.0,0.0,1,1016.5,1003.7,24,33580.0,3.4,6.8,tirana,2026-09-01T03:27:31.786359
