City,Country,Continent,Elevation,Population,Latitude,Longitude,Koppen Classification
tirana,Albania,Europe,107,418495,41.3272,19.8186,Csa
algiers,Algeria,Africa,39,2712944,36.7325,3.0872,Csa
luanda,Angola,Africa,8,Unknown,-8.8383,13.2344,BSh
buenos_aires,Argentina,Americas,41,2965403,-34.6036,-58.3814,Cfa
oranjestad,Aruba,Americas,9,28295,12.5186,-70.0358,BSh
brisbane,Australia,Oceania,21,2176799,-27.4678,153.0281,Cfa
canberra,Australia,Oceania,577,356585,-35.2931,149.1269,Cfb
melbourne,Australia,Oceania,37,4269138,-37.8142,144.9631,Cfb
perth,Australia,Oceania,35,1945140,-31.9558,115.8597,Csa
sydney,Australia,Oceania,40,4451841,-33.8667,151.2,Cfa
graz,Austria,Europe,362,Unknown,47.0708,15.4386,Dfb
vienna,Austria,Europe,188,1766746,48.2083,16.3725,Cfb
antwerp,Belgium,Europe,13,498473,51.2178,4.4003,Cfb
brussels,Belgium,Europe,29,174383,50.8467,4.3525,Cfb
la_paz,Bolivia,Americas,3650,789585,-16.4958,-68.1333,Cwc
sucre,Bolivia,Americas,2806,193876,-19.0475,-65.26,BSk
brasília ,Brazuk,Americas,"1,000",2800000,-15.78,-47.93,Aw
curitiba,Brazil,Americas,913,1751907,-25.4297,-49.2719,Cfb
natal,Brazil,Americas,39,803739,-5.795,-35.2089,As
rio_de_janeiro,Brazil,Americas,16,6520266,-22.9111,-43.2056,Aw
São Paulo,Brazil,Americas,760,12500000,-23.5558,-46.6396,Cfa
sofia,Bulgaria,Europe,557,1210820,42.6979,23.3217,Cfb
phnom_penh,Cambodia,Asia,16,Unknown,11.5696,104.921,Am
calgary,Canada,Americas,1082,1265531,51.05,-114.0667,Dfc
edmonton,Canada,Americas,0,Unknown,53.5344,-113.4903,Dfb
montreal,Canada,Americas,22,1741296,45.5089,-73.5617,Dfb
ottawa,Canada,Americas,71,947031,45.4247,-75.695,Dfb
quebec_city,Canada,Americas,0,Unknown,46.8139,-71.2081,Dfb
toronto,Canada,Americas,90,2808503,43.7417,-79.3733,Dfb
vancouver,Canada,Americas,32,647540,49.25,-123.1,Cfb
santiago,Chile,Americas,585,5150010,-33.4372,-70.6506,Csb
beijing,China,Asia,51,11509595,39.9067,116.3975,Dwa
chongqing,China,Asia,201,9691901,29.5637,106.5504,Cfa
guangzhou,China,Asia,18,8524826,23.13,113.26,Cwa
hong_kong,China,Asia,4,7305700,22.3,114.2,Cwa
macau,China,Asia,43,642900,22.2006,113.5461,Cwa
shanghai,China,Asia,15,24150000,31.2286,121.4747,Cfa
shenzhen,China,Asia,11,7008831,22.5415,114.0596,Cwa
bogota,Colombia,Americas,2605,6763325,4.7111,-74.0722,Cfb
medellin,Colombia,Americas,1473,2183557,6.2308,-75.5906,Af
san_jose,Costa Rica,Americas,1155,333980,37.3012,-121.848,Csb
havana,Cuba,Americas,24,2125320,23.1367,-82.3589,Aw
larnaca,Cyprus,Europe,11,Unknown,34.9167,33.6333,Csa
limassol,Cyprus,Europe,11,Unknown,34.6747,33.0442,BSh
nicosia,Cyprus,Europe,149,Unknown,35.1725,33.365,BSh
prague,Czechia,Europe,201,1259079,50.0875,14.4214,Cfb
copenhagen,Denmark,Europe,13,583525,55.6805,12.5615,Cfb
kinshasa,DR Congo,Africa,284,Unknown,-4.3219,15.3119,Aw
cuenca,Ecuador,Americas,2546,331888,-2.8974,-79.0045,Cfb
quito,Ecuador,Americas,2815,1619146,-0.22,-78.5125,Cfb
cairo,Egypt,Africa,22,12000000,30.0444,31.2358,BWh
tallinn,Estonia,Europe,0,Unknown,59.4372,24.7453,Dfb
helsinki,Finland,Europe,13,616690,60.1708,24.9375,Dfb
aix-en-provence,France,Europe,0,Unknown,43.5263,5.4454,Csa
bordeaux,France,Europe,18,239156,44.84,-0.58,Cfb
cannes,France,Europe,11,73603,43.5513,7.0128,Csb
lyon,France,Europe,182,484343,45.76,4.84,Cfb
marseille,France,Europe,13,850725,43.2964,5.37,Csa
nice,France,Europe,15,343304,43.7034,7.2663,Csb
paris,France,Europe,39,2243833,48.8567,2.3522,Cfb
strasbourg,France,Europe,148,271781,48.5833,7.7458,Cfb
toulon,France,Europe,8,164531,43.1258,5.9306,Csa
toulouse,France,Europe,150,441801,43.6045,1.444,Cfb
tbilisi,Georgia,Antarctic,424,1062282,41.7225,44.7925,Cfa
berlin,Germany,Europe,54,3469849,52.52,13.405,Cfb
düsseldorf ,Germany,Europe,38,618000,51.223,6.7825,Cfb
frankfurt,Germany,Europe,105,717624,50.1106,8.6822,Cfb
hamburg,Germany,Europe,8,1762791,53.55,10,Cfb
munich,Germany,Europe,524,1429584,48.1375,11.575,Cfb
stuttgart,Germany,Europe,245,612441,48.7775,9.18,Cfb
accra,Ghana,Africa,0,Unknown,5.5461,-0.2067,Aw
athens,Greece,Europe,85,664046,37.9842,23.7281,Csa
thessaloniki,Greece,Europe,33,315196,40.6403,22.9356,Cfa
budapest,Hungary,Europe,110,1758512,47.4983,19.0408,Cfb
bangalore,India,Asia,910,4301326,12.9789,77.5917,Aw
chennai,India,Asia,11,4343645,13.0825,80.275,Aw
kolkata,India,Asia,15,4572876,22.5675,88.37,Aw
mumbai,India,Asia,6,11978450,19.0761,72.8775,Aw
new_delhi,India,Asia,215,9879172,28.6139,77.2089,Cwa
jakarta,Indonesia,Asia,3,9607787,-6.175,106.8275,Af
tehran,Iran,Asia,1184,8154051,35.6889,51.3897,Csa
baghdad,Iraq,Asia,37,3841268,33.3153,44.3661,BWh
dublin,Ireland,Europe,17,527612,53.3497,-6.2603,Cfb
Tel aviv,Israel,Asia,27,429514,32.0853,34.7818,Csa
bari,Italy,Europe,13,Unknown,41.1253,16.8667,Cfa
bologna,Italy,Europe,76,385191,44.4939,11.3428,Cfb
florence,Italy,Europe,52,379122,43.7714,11.2542,Cfb
genoa,Italy,Europe,31,594732,44.4072,8.934,Csb
milan,Italy,Europe,132,1330662,45.4669,9.19,Cfa
naples,Italy,Europe,18,983755,40.8358,14.2486,Csa
rome,Italy,Europe,37,2867671,41.8931,12.4828,Csa
turin,Italy,Europe,247,899455,45.0792,7.6761,Cfa
venice,Italy,Europe,10,264556,45.4397,12.3319,Cfa
fukuoka,Japan,Asia,12,1538681,33.59,130.4017,Cfa
kyoto,Japan,Asia,45,Unknown,35.0117,135.7683,Cfa
osaka,Japan,Asia,1,Unknown,34.6939,135.5022,Cfa
tokyo,Japan,Asia,43,9272740,35.687,139.7495,Cfa
riga,Latvia,Europe,16,640319,56.9475,24.1069,Dfb
beirut,Lebanon,Asia,61,361366,33.8981,35.5058,Csa
tripoli,Libya,Africa,4,Unknown,32.8872,13.1914,BSh
luxembourg,Luxembourg,Europe,313,111287,49.6117,6.1319,Cfb
kuala_lumpur,Malaysia,Asia,44,1588750,3.1686,101.698,Af
valletta,Malta,Europe,56,Unknown,35.8983,14.5125,Csa
mexico_city,Mexico,Americas,2242,8851080,19.4333,-99.1333,Cwb
chisinau,Moldova,Europe,86,669693,47.0228,28.8353,Dfb
casablanca,Morocco,Africa,18,Unknown,33.5333,-7.5833,Csa
marrakesh,Niricci,Afruca,475,1100000,31.6225,-7.9898,Bsh
amsterdam,Netherlands,Americas,14,821752,52.3728,4.8936,Cfb
utrecht,Netherlands,Americas,14,Unknown,52.0908,5.1217,Cfb
auckland,New Zealand,Oceania,42,1569900,-36.8492,174.7653,Cfb
lagos,Nigeria,Africa,12,21000000,6.455,3.3841,Aw
oslo,Norway,Europe,24,634293,59.9133,10.7389,Dfb
karachi,Pakistan,Asia,5,9339023,24.86,67.01,BWh
panama_city,Panama,Americas,0,Unknown,8.9711,-79.5347,Am
asuncion,Paraguay,Americas,117,513399,-25.2945,-57.6435,Cfa
lima,Peru,Americas,158,8472935,-12.06,-77.0375,BWh
manila,Philippines,Asia,16,1780148,14.5958,120.9772,Af
warsaw,Poland,Europe,108,1735391,52.23,21.0111,Cfb
aveiro,Portugal,Europe,8,Unknown,40.6389,-8.6553,Csb
braga,Portugal,Europe,188,136885,41.5503,-8.42,Csb
coimbra,Portugal,Europe,30,105842,40.2111,-8.4289,Csb
funchal,Portugal,Europe,9,111541,32.65,-16.9167,Csb
lisbon,Portugal,Europe,60,506891,38.7122,-9.134,Csa
porto,Portugal,Europe,91,216405,41.1495,-8.6108,Csb
doha,Qatar,Asia,13,796947,25.2867,51.5333,BWh
bucharest,Romania,Europe,72,1859322,44.4325,26.1039,Cfb
arkhangelsk,Russia,Europe,1,350258,64.5431,40.5375,Dfc
moscow,Russia,Europe,151,12380664,55.7506,37.6175,Dfb
novosibirsk,Russia,Europe,150,1511369,55.05,82.95,Dfb
orenburg,Russia,Europe,110,555420,51.7833,55.1,Dfa
rostov-on-don,Russia,Europe,62,1100091,47.2357,39.7015,Dfa
simferopol,Russia,Europe,251,331936,44.9519,34.1022,Cfa
sochi,Russia,Europe,3,364171,43.5853,39.7203,Cfa
st._petersburg,Russia,Europe,0,Unknown,27.7931,-82.6652,Cfa
vladivostok,Russia,Europe,5,598927,43.115,131.8853,Dwb
riyadh,Saudi Arabia,Asia,589,5188286,24.65,46.71,BWh
belgrade,Serbia,Europe,131,1369401,44.8178,20.4569,Cfa
